Producer,725,600
Consumer,107,400
Consumer,109,105951700
Consumer,139,500
Consumer,216,200
Producer,816,106537800
Consumer,53,106128900
Consumer,344,106132800
Producer,338,106568700
Consumer,888,100000
Producer,462,64600
Consumer,272,106173300
Consumer,185,106181400
Producer,386,106625400
Consumer,274,106247400
Consumer,39,100
Producer,173,106650400
Producer,612,89100
Producer,35,100
Consumer,116,106237100
Consumer,427,106237600
Consumer,169,185900
Producer,141,106697300
Consumer,160,237500
Producer,734,106782800
Consumer,163,356400
Producer,183,106908200
Consumer,606,525400
Consumer,256,326700
Producer,84,513300
Producer,288,494800
Producer,275,467700
Consumer,492,535800
Producer,299,449400
Producer,167,395200
Consumer,431,134500
Consumer,78,100
Producer,691,107102800
Consumer,227,177500
Producer,129,171500
Consumer,408,533200
Consumer,323,185800
Producer,654,534100
Consumer,532,524400
Producer,147,100400
Producer,128,159700
Producer,88,174800
Producer,244,150900
Consumer,714,735700
Producer,676,56100
Consumer,355,203300
Producer,303,169200
Producer,190,70000
Consumer,721,705900
Consumer,27,100
Consumer,73,100
Producer,567,362200
Consumer,256,187000
Consumer,26,200
Consumer,251,100
Producer,539,353100
Producer,290,100
Consumer,617,310300
Consumer,229,200
Producer,609,180700
Consumer,149,300
Consumer,376,300
Producer,720,300
Consumer,42,300
Consumer,542,200
Consumer,227,0
Consumer,49,100
Producer,954,200
Consumer,543,200
Consumer,263,100
Producer,683,300
Consumer,22,300
Consumer,61,100
Consumer,473,100
Consumer,32,100
Consumer,256,100
Producer,959,105664100
Producer,20,100
Consumer,732,200
Consumer,146,0
Consumer,37,100
Producer,624,156900
Consumer,541,237000
Producer,553,105332800
Producer,51,100
Producer,200,134100
Consumer,201,236800
Consumer,231,200
Producer,397,130600
Consumer,157,195100
Consumer,215,161300
Consumer,246,367600
Consumer,259,100
Producer,730,266200
Consumer,267,462900
Consumer,447,200
Producer,871,102700
Consumer,767,382000
Producer,680,204400
Consumer,459,400
Consumer,350,200
Producer,944,106875500
Consumer,46,200
Consumer,764,100
Consumer,119,200
Producer,407,5500
Producer,215,200
Consumer,293,200
Producer,163,200
Producer,27,100
Producer,396,100
Consumer,688,106690000
Producer,579,128000
Consumer,567,279500
Consumer,111,100
Producer,315,167300
Consumer,408,243300
Producer,777,129400
Consumer,343,203900
Producer,318,123300
Consumer,333,232900
Consumer,300,100
Producer,663,139100
Consumer,636,244000
Producer,159,305900
Producer,375,200
Consumer,449,221700
Producer,598,92800
Consumer,479,242400
Consumer,103,200
Consumer,136,100
Producer,582,182300
Consumer,299,241300
Consumer,293,100
Consumer,155,100
Producer,644,301900
Consumer,158,241900
Consumer,182,541100
Consumer,256,100
Producer,767,111800
Consumer,767,302400
Producer,900,452600
Consumer,727,285800
Consumer,1,300
Consumer,38,200
Producer,22,200
Producer,728,0
Producer,21,200
Consumer,961,91400
