Threads,Tasks,"Average Time (ms)"
1,1,"362,70"
1,10,"191,36"
1,480000,"149,65"
12,12,"23,09"
12,120,"33,86"
12,40000,"99,86"
48,48,"25,92"
48,480,"97,62"
48,10000,"101,30"
